"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-17","58","68","53"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-18","58","67","50"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-19","58","65","52"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-20","55","59","51"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-21","53","59","47"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-22","52","62","47"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-23","54","65","48"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-24","58","71","50"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-25","60","63","55"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-26","57","66","52"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-27","61","75","48"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-28","67","82","57"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-29","70","80","58"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-30","60","60","50"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-31","53","63","49"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-01","57","68","50"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-02","59","66","50"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-03","56","66","50"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-04","59","70","53"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-05","58","66","51"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-06","57","63","51"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-07","54","64","50"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-08","57","64","51"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-09","56","62","51"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-10","60","72","55"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-11","62","71","57"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-06-12","60","59","53"
