"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-07-30",,"98","75",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-07-31",,"98","75",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-01",,"96","74",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-02",,"97","75",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-03",,"99","71",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-04",,"99","73",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-05",,"100","71",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-06",,"99","72",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-07",,"96","73",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-08",,"97","71",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-09",,"97","72",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-10",,"98","70",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-11",,"98","70",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-12",,"96","71",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-13",,"87","73",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-14",,"95","75",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-15",,"96","72",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-16",,"97","74",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-17",,"100","73",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-18",,"85","70",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-19",,"93","70",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-20",,"93","70",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-21",,"93","66",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-22",,"96","71",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-23",,"96","71",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-24",,"98","74",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-25",,"98","74",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-26",,"98","72",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-27",,"97","74",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-28",,"90","74",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-29",,"94","69",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-30",,"92","66",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-08-31",,"82","66",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-01",,"86","66",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-02",,"90","70",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-03",,"88","66",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-04",,"87","71",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-05",,"85","71",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-06",,"84","62",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-07",,"88","64",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-08",,"92","61",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-09",,"94","63",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-10",,"99","69",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-11",,"83","69",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-12",,"92","67",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-09-13",,"94","74",
